training_domain,evaluation_mode,relation,stability_runs,selected_c_median,inner_validation_macro_f1_mean,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max
PPL,PPL,within_domain,25,1.0,0.6527677269085623,0.6813793103448276,0.05853705249815312,0.6808928571428571,0.06117211833200229,0.6730908174213128,0.06269610576129962,0.5239819004524887,0.7653235653235653
PPL,XPL,cross_domain,25,1.0,0.6527677269085623,0.5945287356321839,0.10315159671424862,0.5951785714285714,0.10386638265785794,0.5869296247268383,0.10416437443937512,0.34348370927318295,0.8500000000000001
PPL+XPL,PPL,combined,25,1.0,0.6650709357125629,0.6826666666666666,0.06924664921711084,0.6816071428571427,0.07057149484284532,0.6748434544471696,0.0732955226739279,0.5312937062937063,0.8291666666666666
PPL+XPL,XPL,combined,25,1.0,0.6650709357125629,0.6594022988505748,0.08497440802863929,0.6605357142857143,0.08629169048111433,0.6499207437729109,0.0883187449502841,0.41317071086807927,0.8298076923076922
XPL,PPL,cross_domain,25,10.0,0.6884671149446018,0.5300229885057471,0.06712446855876875,0.530892857142857,0.0661523193697182,0.508827454701563,0.07818464802657527,0.3254419191919192,0.6180595720069404
XPL,XPL,within_domain,25,10.0,0.6884671149446018,0.698896551724138,0.08710988126051257,0.70125,0.08560027760182912,0.6911468724773678,0.09141328084852153,0.5265293916609706,0.8638655462184873
