training_domain,evaluation_mode,relation,selected_c,validation_macro_f1,accuracy,balanced_accuracy,macro_f1,fit_samples,test_samples
PPL,PPL,within_domain,0.01,0.5538461538461539,0.55,0.55,0.4880952380952381,148,20
PPL,XPL,cross_domain,0.01,0.5538461538461539,0.6,0.6,0.5813492063492063,148,20
PPL+XPL,PPL,combined,10.0,0.6436290401807643,0.65,0.65,0.6351648351648351,296,20
PPL+XPL,XPL,combined,10.0,0.6436290401807643,0.55,0.5499999999999999,0.5570512820512821,296,20
XPL,PPL,cross_domain,0.01,0.623349567099567,0.55,0.55,0.534077034077034,148,20
XPL,XPL,within_domain,0.01,0.623349567099567,0.55,0.55,0.47291666666666665,148,20
