outer_repeat,outer_fold,training_domain,evaluation_mode,relation,selected_c,inner_validation_macro_f1,accuracy,balanced_accuracy,macro_f1,fit_samples,evaluation_samples
1,2,PPL+XPL,PPL,combined,1.0,0.6300891765582214,0.7,0.6919642857142857,0.6919028340080973,236,30
1,3,PPL+XPL,PPL,combined,10.0,0.6914662471722597,0.6333333333333333,0.6473214285714286,0.6224747474747474,236,30
1,4,PPL+XPL,PPL,combined,1.0,0.6544189887780358,0.8275862068965517,0.8303571428571429,0.8291666666666666,238,29
1,5,PPL+XPL,PPL,combined,1.0,0.7154990073457091,0.6206896551724138,0.6160714285714285,0.6067583732057416,238,29
2,1,PPL+XPL,PPL,combined,1.0,0.6479794184399491,0.7333333333333333,0.7232142857142857,0.7216911764705883,236,30
2,2,PPL+XPL,PPL,combined,1.0,0.6954017671887929,0.6,0.59375,0.5942056309703369,236,30
2,3,PPL+XPL,PPL,combined,1.0,0.6844784763326853,0.7,0.7098214285714286,0.6951995373048006,236,30
2,4,PPL+XPL,PPL,combined,1.0,0.6669600710529163,0.6896551724137931,0.6830357142857142,0.6842105263157895,238,29
2,5,PPL+XPL,PPL,combined,0.1,0.6474456841566476,0.7241379310344828,0.71875,0.7181818181818183,238,29
3,1,PPL+XPL,PPL,combined,10.0,0.6483618329206565,0.5666666666666667,0.5580357142857142,0.5312937062937063,236,30
3,2,PPL+XPL,PPL,combined,1.0,0.6672775427320392,0.7333333333333333,0.7276785714285714,0.7331002331002331,236,30
3,3,PPL+XPL,PPL,combined,10.0,0.6646127384046188,0.6,0.6071428571428571,0.5996794871794872,236,30
3,4,PPL+XPL,PPL,combined,1.0,0.6655210660439325,0.6896551724137931,0.6875,0.6721804511278195,238,29
3,5,PPL+XPL,PPL,combined,1.0,0.6562188255643379,0.6896551724137931,0.6919642857142857,0.6904761904761905,238,29
4,1,PPL+XPL,PPL,combined,1.0,0.6523031027139604,0.6666666666666666,0.6562499999999999,0.6616071428571428,236,30
4,2,PPL+XPL,PPL,combined,10.0,0.6502222136897059,0.6666666666666666,0.6607142857142857,0.6473039215686275,236,30
4,3,PPL+XPL,PPL,combined,1.0,0.6881946508819844,0.7,0.7098214285714286,0.7,236,30
4,4,PPL+XPL,PPL,combined,1.0,0.6677488705941391,0.6896551724137931,0.7053571428571429,0.6611111111111112,238,29
4,5,PPL+XPL,PPL,combined,1.0,0.6534117518783245,0.7931034482758621,0.7946428571428572,0.7933455433455433,238,29
5,1,PPL+XPL,PPL,combined,0.1,0.641464700499582,0.7,0.6919642857142858,0.6896367521367521,236,30
5,2,PPL+XPL,PPL,combined,10.0,0.6469699705624711,0.6666666666666666,0.6651785714285714,0.6621848739495799,236,30
5,3,PPL+XPL,PPL,combined,1.0,0.676858202327554,0.8,0.8035714285714286,0.7987394957983193,236,30
5,4,PPL+XPL,PPL,combined,10.0,0.6828055397415153,0.5517241379310345,0.5535714285714285,0.5617521367521368,238,29
5,5,PPL+XPL,PPL,combined,10.0,0.6753235492365927,0.7241379310344828,0.7232142857142857,0.7271062271062271,238,29
1,1,PPL+XPL,XPL,combined,0.1,0.6557399979974413,0.8,0.7991071428571428,0.7949404761904761,236,30
1,2,PPL+XPL,XPL,combined,1.0,0.6300891765582214,0.7333333333333333,0.7321428571428572,0.7212669683257917,236,30
1,3,PPL+XPL,XPL,combined,10.0,0.6914662471722597,0.5666666666666667,0.5669642857142857,0.5706815114709851,236,30
1,4,PPL+XPL,XPL,combined,1.0,0.6544189887780358,0.6551724137931034,0.6741071428571428,0.6175941361699876,238,29
1,5,PPL+XPL,XPL,combined,1.0,0.7154990073457091,0.6206896551724138,0.6116071428571428,0.598015873015873,238,29
2,1,PPL+XPL,XPL,combined,1.0,0.6479794184399491,0.6,0.5892857142857142,0.5736355148119854,236,30
2,2,PPL+XPL,XPL,combined,1.0,0.6954017671887929,0.5666666666666667,0.5669642857142857,0.5786199095022624,236,30
2,3,PPL+XPL,XPL,combined,1.0,0.6844784763326853,0.7,0.7142857142857143,0.6979166666666666,236,30
2,4,PPL+XPL,XPL,combined,1.0,0.6669600710529163,0.7241379310344828,0.7410714285714286,0.704879679144385,238,29
2,5,PPL+XPL,XPL,combined,0.1,0.6474456841566476,0.5862068965517241,0.5803571428571428,0.5669467787114846,238,29
3,1,PPL+XPL,XPL,combined,10.0,0.6483618329206565,0.6333333333333333,0.6294642857142857,0.5820512820512821,236,30
3,2,PPL+XPL,XPL,combined,1.0,0.6672775427320392,0.6333333333333333,0.6294642857142857,0.6382868937048505,236,30
3,3,PPL+XPL,XPL,combined,10.0,0.6646127384046188,0.7,0.7053571428571428,0.7053571428571428,236,30
3,4,PPL+XPL,XPL,combined,1.0,0.6655210660439325,0.5517241379310345,0.5535714285714286,0.5504807692307693,238,29
3,5,PPL+XPL,XPL,combined,1.0,0.6562188255643379,0.7586206896551724,0.75,0.7416666666666666,238,29
4,1,PPL+XPL,XPL,combined,1.0,0.6523031027139604,0.8333333333333334,0.8303571428571429,0.8298076923076922,236,30
4,2,PPL+XPL,XPL,combined,10.0,0.6502222136897059,0.7333333333333333,0.7366071428571428,0.734238310708899,236,30
4,3,PPL+XPL,XPL,combined,1.0,0.6881946508819844,0.43333333333333335,0.4330357142857143,0.41317071086807927,236,30
4,4,PPL+XPL,XPL,combined,1.0,0.6677488705941391,0.6551724137931034,0.6651785714285714,0.6496229260935144,238,29
4,5,PPL+XPL,XPL,combined,1.0,0.6534117518783245,0.6551724137931034,0.6517857142857143,0.65,238,29
5,1,PPL+XPL,XPL,combined,0.1,0.641464700499582,0.7,0.6964285714285714,0.6916666666666665,236,30
5,2,PPL+XPL,XPL,combined,10.0,0.6469699705624711,0.6666666666666666,0.6741071428571428,0.675,236,30
5,3,PPL+XPL,XPL,combined,1.0,0.676858202327554,0.6333333333333333,0.6339285714285714,0.6111296791443851,236,30
5,4,PPL+XPL,XPL,combined,10.0,0.6828055397415153,0.6896551724137931,0.6964285714285715,0.699256625727214,238,29
5,5,PPL+XPL,XPL,combined,10.0,0.6753235492365927,0.6551724137931034,0.6517857142857143,0.6517857142857143,238,29
1,1,XPL,PPL,cross_domain,10.0,0.6479028943130775,0.5666666666666667,0.5580357142857143,0.5486928104575164,118,30
1,2,XPL,PPL,cross_domain,10.0,0.6401363547984896,0.5333333333333333,0.5267857142857142,0.5228937728937728,118,30
1,3,XPL,PPL,cross_domain,10.0,0.731256222931583,0.6,0.6205357142857143,0.5763257575757575,118,30
1,4,XPL,PPL,cross_domain,1.0,0.6669599764414005,0.5517241379310345,0.5580357142857143,0.5101558572146807,119,29
1,5,XPL,PPL,cross_domain,0.1,0.7254705130324325,0.3793103448275862,0.3705357142857143,0.3254419191919192,119,29
2,1,XPL,PPL,cross_domain,1.0,0.7097139856797954,0.5,0.4821428571428571,0.47462121212121217,118,30
2,2,XPL,PPL,cross_domain,0.1,0.6889554168006854,0.4,0.4017857142857143,0.3800904977375566,118,30
2,3,XPL,PPL,cross_domain,1.0,0.7119189089777326,0.4666666666666667,0.48660714285714285,0.4308213716108453,118,30
2,4,XPL,PPL,cross_domain,10.0,0.722207905999466,0.5862068965517241,0.5848214285714285,0.5812499999999999,119,29
2,5,XPL,PPL,cross_domain,0.1,0.6525173413331308,0.6206896551724138,0.6116071428571428,0.6025162337662338,119,29
3,1,XPL,PPL,cross_domain,100.0,0.6796430139099071,0.4666666666666667,0.4598214285714286,0.45219780219780215,118,30
